epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,116046,1.21933,0.57662,0.00205,0.91845,0.78823,0.83078,0.64322,1.0064,0.40412,0.00193,0.004258,0.004258,0.004258
176,118518,1.20321,0.55283,0.00196,0.91939,0.78637,0.82938,0.64204,1.00662,0.40395,0.00193,0.004225,0.004225,0.004225
177,121024,1.21314,0.55726,0.00195,0.92066,0.78684,0.83676,0.64872,1.00622,0.4033,0.00192,0.004192,0.004192,0.004192
178,123429,1.20747,0.5519,0.00196,0.92006,0.78766,0.83037,0.64317,1.0049,0.40389,0.00192,0.004159,0.004159,0.004159
179,125963,1.20709,0.56515,0.00207,0.9204,0.78716,0.82868,0.64167,1.00486,0.40291,0.00192,0.004126,0.004126,0.004126
180,128465,1.21777,0.57032,0.00202,0.91844,0.78726,0.82736,0.64068,1.00399,0.40319,0.00192,0.004093,0.004093,0.004093
181,130970,1.20736,0.5524,0.00196,0.91479,0.78744,0.8273,0.64029,1.00407,0.40242,0.00192,0.00406,0.00406,0.00406
182,133387,1.21095,0.56489,0.00201,0.91533,0.79111,0.82838,0.64139,1.0045,0.40242,0.00192,0.004027,0.004027,0.004027
183,135785,1.21308,0.5703,0.00204,0.91195,0.79036,0.82765,0.64078,1.00483,0.40184,0.00192,0.003994,0.003994,0.003994
184,138287,1.19694,0.5535,0.00197,0.91428,0.7888,0.82647,0.64003,1.00472,0.40203,0.00191,0.003961,0.003961,0.003961
185,140664,1.2023,0.56733,0.002,0.91494,0.78848,0.82573,0.63944,1.00432,0.40219,0.00192,0.003928,0.003928,0.003928
